Timestamp;Temperature1;Temperature2;Temperature3;Luminance1;Luminance2;Luminance3
1674043171.6539373;475;472;470;335;920;929
1674043201.6670005;335;330;328;144;942;951
1674043231.6673644;372;368;366;192;941;949
1674043261.6798167;392;388;386;219;940;949
1674043291.6876142;365;361;359;195;885;908
1674043321.6828508;396;393;391;225;941;949
1674043351.6993396;401;397;395;230;940;949
1674043381.711143;380;377;374;205;939;946
1674043411.7186248;348;345;342;161;941;949
1674043441.716065;357;353;351;174;940;946
1674043471.7326286;368;365;363;190;941;942
1674043501.7365558;345;342;339;160;940;939
1674043531.7569788;357;352;351;178;941;936
1674043561.7682562;348;344;342;172;926;926
1674043591.7619429;375;371;369;202;939;941
1674043621.786287;354;351;349;177;939;940
1674043651.7943547;399;395;393;233;940;940
1674043681.8074346;325;320;318;136;940;939
1674043711.8128164;351;348;345;172;940;939
1674043741.823435;352;348;346;173;941;938
1674043771.8402576;401;398;396;230;939;939
1674043801.8434677;365;362;360;182;940;938
1674043831.8494308;404;401;399;233;941;941
1674043861.8699057;359;356;353;174;941;937
1674043891.883717;660;658;656;575;940;938
1674043921.8982627;364;361;359;174;939;939
1674043951.9050667;363;359;357;185;941;942
1674043981.9173448;310;307;305;118;941;942
1674044011.9268677;335;333;332;152;940;940
1674044041.9378307;372;370;368;199;941;944
1674044071.9546835;315;312;310;122;940;944
1674044101.967682;345;341;339;162;940;943
1674044131.9784093;334;331;329;147;940;943
1674044161.983276;352;349;347;170;941;946
1674044192.0043511;335;332;330;148;942;947
1674044222.0195036;471;468;464;322;942;947
1674044252.0343184;446;443;441;288;942;947
1674044282.0315495;365;361;358;180;941;948
1674044312.0561283;285;278;275;75;941;948
1674044342.0712721;337;333;330;151;897;915
1674044372.0712283;343;338;335;154;941;948
1674044402.0962162;344;342;339;160;939;948
1674044432.0923996;344;341;339;159;941;947
1674044462.118848;346;343;341;153;940;948
1674044492.128102;356;352;350;167;938;945
1674044522.142016;337;334;332;142;941;947
1674044552.1438003;348;344;342;157;941;947
1674044582.1697288;351;348;346;160;941;947
1674044612.1821232;352;349;347;161;941;948
1674044642.1961303;356;353;351;166;942;950
1674044672.2007198;345;339;337;155;941;950
1674044702.217283;347;344;342;154;941;950
1674044732.2369442;332;329;327;142;941;949
1674044762.247892;255;252;250;46;939;949
1674044792.260454;341;339;338;156;939;950
1674044822.2703269;336;333;331;149;940;951
1674044852.2743182;334;332;330;147;940;951
1674044882.294505;339;336;334;152;940;951
1674044912.3002417;339;335;334;153;940;951
1674044942.3179398;336;332;330;147;940;951
1674044972.3298962;337;333;332;149;940;951
1674045002.3458;347;343;341;161;940;951
1674045032.365632;211;185;169;0;941;951
1674045062.364024;0;0;0;0;940;951
1674045092.3919864;308;302;299;113;940;951
1674045122.3986275;0;0;0;0;940;951
1674045152.4099953;220;191;178;4;940;952
1674045182.4183326;221;188;170;11;941;952
1674045212.4244115;150;54;26;0;940;950
1674045242.448188;94;31;14;0;941;951
1674045272.4504852;106;35;17;0;941;951
1674045302.4722753;198;128;101;0;942;952
1674045332.4982557;351;347;345;166;942;953
1674045362.5052326;253;248;244;39;942;952
1674045392.5140018;160;68;43;0;941;953
1674045422.5326662;255;252;250;44;941;952
1674045452.5488951;230;215;204;11;941;952
1674045482.5611734;227;211;199;9;939;951
1674045512.5757728;245;235;226;29;942;952
1674045542.5836027;243;235;230;28;941;952
1674045572.6065063;245;239;235;29;942;953
1674045602.6070197;249;243;239;33;943;953
1674045632.6215878;160;80;57;0;943;953
1674045662.6399713;142;50;28;0;941;952
1674045692.6575053;165;91;65;0;912;929
1674045722.6559787;58;13;3;0;895;915
1674045752.6693933;28;0;0;0;884;906
1674045782.6926534;295;292;290;96;938;951
1674045812.6958206;336;333;332;150;937;950
1674045842.7192223;336;334;332;149;942;954
1674045872.728863;217;193;176;1;941;954
1674045902.7352123;224;205;189;7;942;954
1674045932.7481236;217;186;171;3;943;954
1674045962.7649732;112;55;42;0;942;955
1674045992.7788615;111;55;42;0;931;945
1674046022.7766447;62;13;2;0;906;926
1674046052.8007524;55;6;0;0;876;903
1674046082.8126848;151;60;35;0;926;942
1674046112.8164983;101;32;15;0;943;954
1674046142.8372848;0;0;0;0;934;948
1674046172.8416572;197;162;137;0;861;885
1674046202.8623133;107;32;14;0;913;926
1674046232.8692014;112;42;24;0;910;923
1674046262.878096;328;318;314;151;848;876
1674046292.8971295;330;328;325;174;833;864
1674046322.914267;325;320;318;169;796;837
1674046352.9113312;316;313;311;157;788;833
1674046382.9320924;338;336;335;189;776;824
1674046412.9386756;331;328;327;182;763;814
1674046442.949253;320;318;317;176;757;807
1674046472.956307;328;326;324;183;770;812
1674046502.9541519;281;279;278;126;765;806
1674046532.973719;309;307;305;160;757;799
1674046562.9709668;282;280;279;128;751;795
1674046592.9800956;324;322;321;184;749;791
1674046622.9931085;330;328;326;187;766;807
1674046652.9994907;345;342;342;204;775;816
1674046682.9948688;251;248;247;57;885;903
1674046713.0063574;336;334;333;177;849;875
1674046743.0203974;348;347;345;197;805;843
1674046773.024088;354;352;349;187;889;905
1674046803.0284367;351;348;346;179;905;918
1674046833.0310538;347;345;343;178;907;919
1674046863.05121;342;340;338;172;902;917
1674046893.0434813;332;328;326;176;814;848
1674046923.062375;327;324;323;172;789;830
1674046953.0695782;302;301;299;143;800;837
1674046983.0793629;182;180;178;0;829;858
1674047013.0882745;382;380;378;220;909;923
1674047043.092285;352;350;348;183;903;919
1674047073.1060925;346;344;342;188;836;867
1674047103.0992165;339;337;336;202;744;798
1674047133.1191795;340;338;337;202;750;800
1674047163.1157978;352;350;349;180;913;927
1674047193.1325507;370;368;366;204;915;928
1674047223.1367571;339;337;336;153;906;921
1674047253.1536329;391;389;387;220;910;924
1674047283.1536033;325;323;321;132;910;924
1674047313.169677;292;289;287;95;887;901
1674047343.177986;348;346;344;172;878;894
1674047373.1896973;350;348;346;173;882;897
1674047403.1879706;372;369;368;204;881;897
1674047433.1980627;344;342;340;168;877;892
1674047463.2209098;344;342;340;169;877;891
1674047493.2360106;341;339;337;164;878;892
1674047523.245226;341;338;337;164;878;892
1674047708.2976077;286;284;282;114;780;820
1674047709.4767053;342;340;338;165;880;893
1674047710.5013423;344;342;340;167;880;893
1674047711.5408735;344;341;340;167;881;894
1674047712.5571003;314;311;310;129;872;886
1674047713.5659015;591;589;587;493;890;904
1674047733.3202107;364;362;360;195;871;890
1674047763.3294306;355;353;351;177;891;905
1674047793.341818;350;347;346;172;889;903
1674047823.355999;382;380;379;221;860;882
1674047853.358996;344;341;340;164;884;899
1674047883.3756695;342;339;338;161;891;904
1674047913.3805282;357;355;353;195;831;858
1674047943.395872;342;339;338;178;822;850
1674047973.410341;320;318;316;150;815;845
1674048136.3957772;345;343;342;173;857;879
1674048137.6797864;347;344;343;188;801;837
1674048138.6799371;288;286;285;115;788;828
1674048139.6807687;342;340;339;186;785;825
1674048140.687455;341;338;336;189;763;808
1674048153.4443161;336;334;333;188;747;796
1674048183.466091;340;339;338;197;735;785
1674048213.4724221;337;335;334;193;730;781
1674048243.47273;345;343;341;204;728;781
1674048273.4794786;343;341;340;199;732;788
1674048303.4827027;353;351;349;213;724;784
1674048333.48806;335;333;331;191;716;778
1674048363.5008566;347;346;344;212;705;769
1674048393.495916;344;342;341;208;702;764
1674048423.4993165;344;342;341;210;698;759
1674048453.5210834;346;344;343;213;698;759
1674048483.523357;355;353;351;224;695;757
1674048513.5302823;363;361;358;236;688;752
1674048543.533793;363;361;360;240;681;744
1674048573.532523;372;370;368;253;673;739
1674048603.539921;380;379;377;268;661;732
1674048633.5482235;319;317;316;189;647;722
1674048663.5452287;346;345;343;227;638;715
1674048693.552106;352;350;348;236;631;711
1674048723.5578108;353;351;350;238;629;710
1674048753.5701632;368;367;365;257;632;713
1674048783.5722828;392;390;389;288;635;715
1674048813.5644748;391;389;388;290;612;691
